Utterance,Emotion,Dialogue_ID,Utterance_ID,Speaker,source
Oh yes . She had a beautiful wedding in Cozumel Mexico and we all attended .,joy,dailydialog_0,0,Speaker,dailydialog
Great . Thanks for asking .,neutral,dailydialog_1,0,Speaker,dailydialog
Do you want to send it by ordinary or registered mail ?,neutral,dailydialog_2,0,Speaker,dailydialog
I am not sure .,neutral,dailydialog_3,0,Speaker,dailydialog
And no hijackers .,neutral,dailydialog_4,0,Speaker,dailydialog
Count me in !,joy,dailydialog_5,0,Speaker,dailydialog
"Sure , I'll take mine , sunny side up .",joy,dailydialog_6,0,Speaker,dailydialog
Maybe it is for the best . They are not suitable for each other because they have nothing in common and are completely different people .,neutral,dailydialog_7,0,Speaker,dailydialog
Yeah . I have got much pressure in the company . I have tobe wrapped upon my work .,joy,dailydialog_8,0,Speaker,dailydialog
"Oh , great , I saw a job ad outside your store . I am interested in the job advertised . I am coming to see if there is any opportunity available for me .",neutral,dailydialog_9,0,Speaker,dailydialog
And what are running-shoe-style shoes ?,neutral,dailydialog_10,0,Speaker,dailydialog
great ! Thank you !,joy,dailydialog_11,0,Speaker,dailydialog
"Fine , thanks . I am Wang Lin .",joy,dailydialog_12,0,Speaker,dailydialog
For pick - up or delivery ?,neutral,dailydialog_13,0,Speaker,dailydialog
I'm glad I could help .,joy,dailydialog_14,0,Speaker,dailydialog
"I am afraid , Ma'am , you have to pay 100 US dollars since you lost the key .",neutral,dailydialog_15,0,Speaker,dailydialog
Thank you for your payment .,neutral,dailydialog_16,0,Speaker,dailydialog
"At the close of escrow , the house will be yours !",neutral,dailydialog_17,0,Speaker,dailydialog
"I'm so happy . Even though we are both working , we get to spend a lot of time with each other in the evening and on the weekends .",joy,dailydialog_18,0,Speaker,dailydialog
It's very nice of you .,joy,dailydialog_19,0,Speaker,dailydialog
I am glad to hear that .,joy,dailydialog_20,0,Speaker,dailydialog
Okay . Does this car have a warranty ?,neutral,dailydialog_21,0,Speaker,dailydialog
"Have a wallet size print made for me , too .",joy,dailydialog_22,0,Speaker,dailydialog
Let's go !,joy,dailydialog_23,0,Speaker,dailydialog
Do you think it will help ?,neutral,dailydialog_24,0,Speaker,dailydialog
Do you want to transfer money from that account ?,neutral,dailydialog_25,0,Speaker,dailydialog
Blue .,neutral,dailydialog_26,0,Speaker,dailydialog
What did you need to talk about ?,neutral,dailydialog_27,0,Speaker,dailydialog
That ’ s right .,neutral,dailydialog_28,0,Speaker,dailydialog
I want to take them to court for arresting me .,anger,dailydialog_29,0,Speaker,dailydialog
I did the same . I spent hours yesterday evening wrapping presents . I hope I didn ’ t forget to buy anyone something !,neutral,dailydialog_30,0,Speaker,dailydialog
"How do they train the dogs ? Well , I mean , it's a long process , right ... we get them when they're puppies ... and so we train them basic ... you know , sit , come ... really basic things ... then , after they're about two year old , they go a different training school .",neutral,dailydialog_31,0,Speaker,dailydialog
"Here ’ s my card , just give me a call if you ’ re interested .",neutral,dailydialog_32,0,Speaker,dailydialog
"Yeah sure , it's much quicker . Do you know how ?",neutral,dailydialog_33,0,Speaker,dailydialog
"There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have a radar helping me spot new friends .",neutral,dailydialog_34,0,Speaker,dailydialog
Could you put it in detail ?,neutral,dailydialog_35,0,Speaker,dailydialog
"Yes , this mattress is very good . It's pretty firm . The mattress I ’ m now sleeping on is saggy .",joy,dailydialog_36,0,Speaker,dailydialog
"A glass of white wine would be fine , thank you .",joy,dailydialog_37,0,Speaker,dailydialog
