Utterance,Emotion,Dialogue_ID,Utterance_ID,Speaker,source
But I don't think much of it .,disgust,dailydialog_0,0,Speaker,dailydialog
Thank you very much . This is for your help .,joy,dailydialog_1,0,Speaker,dailydialog
I think a white shirt with a blue tie looks nice on you .,joy,dailydialog_2,0,Speaker,dailydialog
You ’ re making my blood boil .,anger,dailydialog_3,0,Speaker,dailydialog
Oops ! It's the landlord . I guess the tables have turned now . We're the noisy neighbors . Turn it down !,surprise,dailydialog_4,0,Speaker,dailydialog
"I don't need your help , jerk .",anger,dailydialog_5,0,Speaker,dailydialog
"I'm sick of it , too .",disgust,dailydialog_6,0,Speaker,dailydialog
"Well , it could be me too . But I am not too worried . This place is suffocating me with this boss being such a hard-ass and colleagues who barely know how to get dressed in the morning . It would almost be a blessing to be fired from this place .",sadness,dailydialog_7,0,Speaker,dailydialog
Thank you . Do you need something else ?,joy,dailydialog_8,0,Speaker,dailydialog
"Well , you might pinch your eyelid ! Or lose an eyeball !",anger,dailydialog_9,0,Speaker,dailydialog
God save me ! Is there anything wrong with you ? Didn't I tell you ?,surprise,dailydialog_10,0,Speaker,dailydialog
"Yes , please . I'll really appreciate that .",joy,dailydialog_11,0,Speaker,dailydialog
"Yes , that's right . If you find this person becomes more and more important to you and you can totally trust her , then you can stay in love .",joy,dailydialog_12,0,Speaker,dailydialog
It's our pleasure . We are always happy to have another satisfied customer . Thanks for calling . Goodbye .,joy,dailydialog_13,0,Speaker,dailydialog
I never imagined meeting you here .,surprise,dailydialog_14,0,Speaker,dailydialog
"Well , I want to let your boss know that she ’ d better hold on to you ! You ’ re a hard worker !",joy,dailydialog_15,0,Speaker,dailydialog
That ’ s Charles .,neutral,dailydialog_16,0,Speaker,dailydialog
"That's a black fraternity , right ? So we should see some dancing !",neutral,dailydialog_17,0,Speaker,dailydialog
it was . The hijackers didn't have any respect for human life not even their own .,anger,dailydialog_18,0,Speaker,dailydialog
Hello . Mr . Zhang . It's Mary .,neutral,dailydialog_19,0,Speaker,dailydialog
I don't think this mall has a leather goods store.So we have to go to State Street .,neutral,dailydialog_20,0,Speaker,dailydialog
I'm going to try sky diving this weekend .,joy,dailydialog_21,0,Speaker,dailydialog
I'm sorry to hear that . Thank you for telling me a little more about it .,neutral,dailydialog_22,0,Speaker,dailydialog
Whatever am i going to tell me parents .,sadness,dailydialog_23,0,Speaker,dailydialog
Thank you . So what do you think ? Would we have a good time ?,joy,dailydialog_24,0,Speaker,dailydialog
"I have no plans for Friday , so curry would be great . Which restaurant do you have in mind ?",neutral,dailydialog_25,0,Speaker,dailydialog
I think that's what I want . How much is it ?,joy,dailydialog_26,0,Speaker,dailydialog
"Hi Amy , you look very happy .",joy,dailydialog_27,0,Speaker,dailydialog
"Yes , she is my favorite girl . I've decided to go steady with her .",joy,dailydialog_28,0,Speaker,dailydialog
"I'm Steven , your neighbour .",joy,dailydialog_29,0,Speaker,dailydialog
PCC is a wonderful institution .,neutral,dailydialog_30,0,Speaker,dailydialog
Surely not . I can feel the results . I'm starting to feel different now .,neutral,dailydialog_31,0,Speaker,dailydialog
Twenty years ! That's a long time .,surprise,dailydialog_32,0,Speaker,dailydialog
"OK , I ’ ll try later . Thanks anyway .",joy,dailydialog_33,0,Speaker,dailydialog
I'm afraid I can't .,sadness,dailydialog_34,0,Speaker,dailydialog
"Yeah , the new ones can be tricky . What are you trying to buy ?",neutral,dailydialog_35,0,Speaker,dailydialog
Thank you . I'd like to get my laundry .,joy,dailydialog_36,0,Speaker,dailydialog
Why aren ’ t they are aware of the gravity of the situation ?,anger,dailydialog_37,0,Speaker,dailydialog
there's an open mic night at the pub down the road every Thursday night where my favorite local band usually plays . You should come along next week with me .,neutral,dailydialog_38,0,Speaker,dailydialog
"What do you do there ... hang around , like the kids ?",neutral,dailydialog_39,0,Speaker,dailydialog
Yes . I moved here last week .,joy,dailydialog_40,0,Speaker,dailydialog
"150 ? No , I'm not really interested in this place . It isn't big enough . It isn't near enough to my office .",surprise,dailydialog_41,0,Speaker,dailydialog
"I have to make money to support the family , so I have little time left to share with you .",sadness,dailydialog_42,0,Speaker,dailydialog
His parents must feel very happy .,joy,dailydialog_43,0,Speaker,dailydialog
Not really . What are these toys over there ?,neutral,dailydialog_44,0,Speaker,dailydialog
And would you mind telling us what you think of the rail service ?,neutral,dailydialog_45,0,Speaker,dailydialog
"How , exactly , does this work ?",neutral,dailydialog_46,0,Speaker,dailydialog
"No , don't , I don't want to see you anymore . Don't ever call me again .",anger,dailydialog_47,0,Speaker,dailydialog
"Well , I am a beginner . I ...",neutral,dailydialog_48,0,Speaker,dailydialog
What part hurts ?,neutral,dailydialog_49,0,Speaker,dailydialog
"Yes , we have a very pleasant time . Thank you for being so nice for us .",joy,dailydialog_50,0,Speaker,dailydialog
It's so pleasant after the bad weather we've been having .,joy,dailydialog_51,0,Speaker,dailydialog
What ? I sent you three or four messages !,surprise,dailydialog_52,0,Speaker,dailydialog
"Nice to see you , Mrs . Anderson .",joy,dailydialog_53,0,Speaker,dailydialog
"By the way , it was really thoughtful if you to get me the ticket . I really appreciate it , I'll buy some popcorn , and drinks for us .",joy,dailydialog_54,0,Speaker,dailydialog
It's too high . I can't reach it . Could you help me ?,neutral,dailydialog_55,0,Speaker,dailydialog
Merry Christmas !,neutral,dailydialog_56,0,Speaker,dailydialog
"What can I do for you , Ma'am ?",neutral,dailydialog_57,0,Speaker,dailydialog
"Oh , yeah , it ’ s terrible . I will tell you the funniest thing I have seen in China . It ’ s when so many people try to get onto one city bus , and the last guy is squeezed in so tight that the door is tightly pressed against his butt .",disgust,dailydialog_58,0,Speaker,dailydialog
Yeah . It ’ s exciting . This month we ’ re doing crossword puzzles .,joy,dailydialog_59,0,Speaker,dailydialog
"the food station was as crowded as usual . I waited for 20 minutes for my sandwich , and when I finally got it the chicken was underdone .",disgust,dailydialog_60,0,Speaker,dailydialog
"Oh , really ? That is great news . What does he look like ?",surprise,dailydialog_61,0,Speaker,dailydialog
"Fine , well the job search tools are all here for you to use . Feel free to look around and use what works best for you . Have fun with it !",joy,dailydialog_62,0,Speaker,dailydialog
Can ’ t it wait ? I ’ m watching the game right now !,anger,dailydialog_63,0,Speaker,dailydialog
"Well , my car won't start . I don't know what's the matter with it .",neutral,dailydialog_64,0,Speaker,dailydialog
Cool !,joy,dailydialog_65,0,Speaker,dailydialog
"Certainly . Come to my office at ten ten . Be prompt , please . I've another appointment at 11 .",neutral,dailydialog_66,0,Speaker,dailydialog
I am just trying to find something that will pay the bills until this bad economy passes by .,neutral,dailydialog_67,0,Speaker,dailydialog
The Cosby Show ? Wasn't it over many years ago ?,surprise,dailydialog_68,0,Speaker,dailydialog
Sounds interesting ! That must be very convenient .,joy,dailydialog_69,0,Speaker,dailydialog
She is really something .,joy,dailydialog_70,0,Speaker,dailydialog
"It's too raw . I wanted mine well done , but this one here is almost medium .",disgust,dailydialog_71,0,Speaker,dailydialog
Your garden is really lovely .,joy,dailydialog_72,0,Speaker,dailydialog
"Thanks.Let me see . I think there's a mistake on the bill here.Would you mind checking , please ?",joy,dailydialog_73,0,Speaker,dailydialog
It's my pleasure to talk with you .,anger,dailydialog_74,0,Speaker,dailydialog
I'm glad you're so happy .,joy,dailydialog_75,0,Speaker,dailydialog
Thank you . I ’ m leaving tomorrow morning .,joy,dailydialog_76,0,Speaker,dailydialog
Quit this company ? Oh ... wow .,surprise,dailydialog_77,0,Speaker,dailydialog
Wonderful . Just e-mail me the time and date and I'll be there .,joy,dailydialog_78,0,Speaker,dailydialog
"Oh , thank you . Your skirt looks beautiful , too .",neutral,dailydialog_79,0,Speaker,dailydialog
Great ! Pick me up in about an hour because I think I ’ ll also get a bean bag and a dining set .,joy,dailydialog_80,0,Speaker,dailydialog
"I took that class already . There is a lot of writing , but it's not that bad .",neutral,dailydialog_81,0,Speaker,dailydialog
You're joking !,surprise,dailydialog_82,0,Speaker,dailydialog
"Well , my particular interest is collecting stamps , especially the rare ones . What about you ?",joy,dailydialog_83,0,Speaker,dailydialog
I ’ m glad you ’ re enjoying it .,joy,dailydialog_84,0,Speaker,dailydialog
"No problem , Madam . Should I check the air in the spare tyre as well ?",joy,dailydialog_85,0,Speaker,dailydialog
I'm free tomorrow .,joy,dailydialog_86,0,Speaker,dailydialog
How on earth can you miss several buses ?,surprise,dailydialog_87,0,Speaker,dailydialog
"I don't know what to say , Jack !",surprise,dailydialog_88,0,Speaker,dailydialog
That sounds quite big ! How many people live there ?,surprise,dailydialog_89,0,Speaker,dailydialog
what do you think about it ?,neutral,dailydialog_90,0,Speaker,dailydialog
Shadow-boxing ? How interesting ! Do you think it really helpful for your health ?,joy,dailydialog_91,0,Speaker,dailydialog
Really ? What ’ s the catch ?,surprise,dailydialog_92,0,Speaker,dailydialog
"Oh , my son is an American citizen . We want to live together in the future .",neutral,dailydialog_93,0,Speaker,dailydialog
"Hey , Rose , how are you feeling ?",joy,dailydialog_94,0,Speaker,dailydialog
"Ah , never mind , please .",neutral,dailydialog_95,0,Speaker,dailydialog
"Well , if he can become president , then I can at least get a promotion .",joy,dailydialog_96,0,Speaker,dailydialog
Thanks for the advice . I'll talk to my fiance about it tonight .,joy,dailydialog_97,0,Speaker,dailydialog
Why are you being so nice to me ? Don't think for a second that I trust you .,anger,dailydialog_98,0,Speaker,dailydialog
Then you would like the ' no frills ' business account .,neutral,dailydialog_99,0,Speaker,dailydialog
Why not fifty or one-hundred dollars ?,neutral,dailydialog_100,0,Speaker,dailydialog
"Really ? Wow , I don't have to go to school tomorrow .",surprise,dailydialog_101,0,Speaker,dailydialog
"Thanks . It's a lot better than mine , and it's new .",joy,dailydialog_102,0,Speaker,dailydialog
Are you sure you're all right ? You look a bit worried today . Is anything wrong ?,neutral,dailydialog_103,0,Speaker,dailydialog
"Mmm ... let me think . Oh , I know just a person . An old colleague of mine , Jim Thomas , is coming here to do some research this summer , from June to August .",joy,dailydialog_104,0,Speaker,dailydialog
"Todd , good to hear from you !",joy,dailydialog_105,0,Speaker,dailydialog
"Hi , Tim , any news about your job interview ?",neutral,dailydialog_106,0,Speaker,dailydialog
"Yes , it was . I managed to sort out the problem , but I was tied up with the matter for over an hour .",disgust,dailydialog_107,0,Speaker,dailydialog
So soon ? Why don't you stay a little longer ?,surprise,dailydialog_108,0,Speaker,dailydialog
It's snowing heavily .,joy,dailydialog_109,0,Speaker,dailydialog
"well , Jerry , let me tell you a secret .",neutral,dailydialog_110,0,Speaker,dailydialog
"My invitation ? No , I haven't . My invitation to what ?",surprise,dailydialog_111,0,Speaker,dailydialog
"OK then , I will make the arrangements for them to attend . Do you know how to get there ?",neutral,dailydialog_112,0,Speaker,dailydialog
In the dustbin ! Why didn't you tell me before ?,surprise,dailydialog_113,0,Speaker,dailydialog
I'm curious about that .,neutral,dailydialog_114,0,Speaker,dailydialog
"Oh , sorry to interrupt you . But I am calling to say goodbye to you . I am awfully sorry to tell you that I am afraid I could not see you off at the airport tomorrow , because I will have to attend a very important meeting .",sadness,dailydialog_115,0,Speaker,dailydialog
That sounds absolutely disgusting !,disgust,dailydialog_116,0,Speaker,dailydialog
I'm afraid I forgot to lock the door .,sadness,dailydialog_117,0,Speaker,dailydialog
Is there anything I can do to help ? Just remember that I'm there for you if you want to talk about it .,neutral,dailydialog_118,0,Speaker,dailydialog
"Yes , sir . What time would you like your table , sir ?",joy,dailydialog_119,0,Speaker,dailydialog
"That's fine , because if I leave , then your rules won't matter .",anger,dailydialog_120,0,Speaker,dailydialog
Hi .,neutral,dailydialog_121,0,Speaker,dailydialog
I'm feeling a little under the weather .,neutral,dailydialog_122,0,Speaker,dailydialog
What classes do you plan on taking ?,neutral,dailydialog_123,0,Speaker,dailydialog
Let me have a look .,neutral,dailydialog_124,0,Speaker,dailydialog
But the full service will make your nails look much prettier and it is on discount now .,neutral,dailydialog_125,0,Speaker,dailydialog
I understand . When do you think I can come and see him tomorrow afternoon ?,neutral,dailydialog_126,0,Speaker,dailydialog
I'm glad you say so . You dance beautifully too . It's lucky that I got you as a partner .,joy,dailydialog_127,0,Speaker,dailydialog
That's an interesting combination . How about western movies ?,joy,dailydialog_128,0,Speaker,dailydialog
Actually it was the most interesting day I ’ Ve had so far .,joy,dailydialog_129,0,Speaker,dailydialog
Good gracious ! Are you sure ?,surprise,dailydialog_130,0,Speaker,dailydialog
"I really admire you , Diana .",neutral,dailydialog_131,0,Speaker,dailydialog
Today ?,surprise,dailydialog_132,0,Speaker,dailydialog
I was also interrupted by her last week because of such a thing .,neutral,dailydialog_133,0,Speaker,dailydialog
"That ’ s the flower girl and the ring bearer . I ’ m pretty sure they ’ re the groom ’ s niece and nephew . Oh , they look so cute !",joy,dailydialog_134,0,Speaker,dailydialog
"It's OK , so I send you this .",joy,dailydialog_135,0,Speaker,dailydialog
"I'm sure it is wonderful , but I need an unfurnished apartment with relatively lower cost .",joy,dailydialog_136,0,Speaker,dailydialog
The reason for my application for this position is simple . My educational background and professional experience make me qualified for the job .,neutral,dailydialog_137,0,Speaker,dailydialog
"What about Tianqiao Temple Fair ? A variety of opera performances , acrobatics shows , and food will dazzle you .",joy,dailydialog_138,0,Speaker,dailydialog
"I was late getting back from the mall , but I'm hurrying .",neutral,dailydialog_139,0,Speaker,dailydialog
"What ? Ed , don ’ t tell me you only have bad news !",surprise,dailydialog_140,0,Speaker,dailydialog
That ’ s a pity . We can arrange another time hopefully .,sadness,dailydialog_141,0,Speaker,dailydialog
"Bob is retiring , wow ... that's news to me , I had no idea Bob was that old , retirement's still sixty-five , right ?",surprise,dailydialog_142,0,Speaker,dailydialog
A warrant for what ?,anger,dailydialog_143,0,Speaker,dailydialog
No wonder ! Who is the bridegroom ?,neutral,dailydialog_144,0,Speaker,dailydialog
Friday then . How about it ?,neutral,dailydialog_145,0,Speaker,dailydialog
I wonder Why .,neutral,dailydialog_146,0,Speaker,dailydialog
"Yes , It's supposed to be outstanding .",joy,dailydialog_147,0,Speaker,dailydialog
"Sure , I'd love to . I heard Sichuan cuisine is very hot , I think I definitely love it .",joy,dailydialog_148,0,Speaker,dailydialog
"Have a nice day , bye !",joy,dailydialog_149,0,Speaker,dailydialog
"yes . And I've brought some documents along with me , too . Do you need to see my passport ?",neutral,dailydialog_150,0,Speaker,dailydialog
"hey , Lucas , how was your trip to Paris ?",neutral,dailydialog_151,0,Speaker,dailydialog
"Fine ! I'll reserve a table for two at 8 pm , sir . May I have your name , please ?",joy,dailydialog_152,0,Speaker,dailydialog
"Yes , I would be happy to help . What do you want to buy ?",neutral,dailydialog_153,0,Speaker,dailydialog
That's it ! That's the one I was thinking of ! I told you I'd remember it !,surprise,dailydialog_154,0,Speaker,dailydialog
Yes . I found a very good job down here .,joy,dailydialog_155,0,Speaker,dailydialog
"No , I really must go now.My family are expecting me home soon .",neutral,dailydialog_156,0,Speaker,dailydialog
Nine is a great time to get started . I'll see you on Saturday !,neutral,dailydialog_157,0,Speaker,dailydialog
"Hey , How did you know I came from America ?",surprise,dailydialog_158,0,Speaker,dailydialog
"Yes , beautiful weather we're having .",joy,dailydialog_159,0,Speaker,dailydialog
You must be Wily . It's nice to meet you .,joy,dailydialog_160,0,Speaker,dailydialog
Can I ask you what the office rules are ?,neutral,dailydialog_161,0,Speaker,dailydialog
Silly me .,sadness,dailydialog_162,0,Speaker,dailydialog
"Then , put on your casual clothes and pack some food and beverages .",joy,dailydialog_163,0,Speaker,dailydialog
Really ? Maybe I should work for you .,surprise,dailydialog_164,0,Speaker,dailydialog
They basically turn their bodies into drums . There's a national step competition every year .,joy,dailydialog_165,0,Speaker,dailydialog
"Our pleasure . We have several package tours you may choose , from ten days to three weeks in Europe .",neutral,dailydialog_166,0,Speaker,dailydialog
"Oh , it's my pleasure . After all , you are very qualified for the position .",joy,dailydialog_167,0,Speaker,dailydialog
I'm not ready to get off the phone with you .,neutral,dailydialog_168,0,Speaker,dailydialog
Who are we going to play with today ?,neutral,dailydialog_169,0,Speaker,dailydialog
"How could I help but follow it ? The fluctuation of dollar is killing my company ! The exchange rates are eating into our profits , and we can't do anything about it .",anger,dailydialog_170,0,Speaker,dailydialog
I went to Yale University .,neutral,dailydialog_171,0,Speaker,dailydialog
Really ? Who made that rule up ?,anger,dailydialog_172,0,Speaker,dailydialog
"Oh , come on ! An excuse like that is tantamount to lying . You ’ re essentially blaming the tech team for your time management issues , rather than accepting responsibility for the fact that you were procrastinating for the past two weeks .",anger,dailydialog_173,0,Speaker,dailydialog
The TV news doesn't tell us the race anymore .,neutral,dailydialog_174,0,Speaker,dailydialog
I'd like some toast and chicken wings .,joy,dailydialog_175,0,Speaker,dailydialog
"Oh , no . I also need this tomorrow evening .",neutral,dailydialog_176,0,Speaker,dailydialog
Never mind . I'll be waiting for you .,joy,dailydialog_177,0,Speaker,dailydialog
December 1st .,neutral,dailydialog_178,0,Speaker,dailydialog
Sure . Is today only you second visit ?,neutral,dailydialog_179,0,Speaker,dailydialog
Potatoes ?,neutral,dailydialog_180,0,Speaker,dailydialog
I know . Last week he gave me a lie about being too busy .,sadness,dailydialog_181,0,Speaker,dailydialog
Really ? Can I order anything I want ?,joy,dailydialog_182,0,Speaker,dailydialog
"I'm glad you enjoyed the city , anyway . But please don't think too unkindly of us .",joy,dailydialog_183,0,Speaker,dailydialog
It ’ s only the day when the world ’ s biggest sporting event is kicking off .,neutral,dailydialog_184,0,Speaker,dailydialog
Did you promise him ?,joy,dailydialog_185,0,Speaker,dailydialog
Really ? What about the pay rate ? Are the wages pretty high ?,surprise,dailydialog_186,0,Speaker,dailydialog
Oh ... I'm sweating already . It's so hot . I can feel it boiling ! Can I get out yet ?,anger,dailydialog_187,0,Speaker,dailydialog
"come on , dear ! You forgot it , too .",neutral,dailydialog_188,0,Speaker,dailydialog
"Because I feel tired all the time , even when I wake up in the morning . I find it very difficult to do any work . I have no appetite .",sadness,dailydialog_189,0,Speaker,dailydialog
That's great . Let's go !,joy,dailydialog_190,0,Speaker,dailydialog
"Just take it easy . If he starts to bother you , let me know and I'll call security .",neutral,dailydialog_191,0,Speaker,dailydialog
"Sorry , not tonight !",neutral,dailydialog_192,0,Speaker,dailydialog
It sure would . Did you also notice the way she slouched in her chair during most of the interview ? She had horrible posture !,disgust,dailydialog_193,0,Speaker,dailydialog
